label,pattern
flowering,bloom
flowering,blooming
flowering,blooms
flowering,corolla
flowering,corollas
flowering,cyme
flowering,cymes
flowering,fl
flowering,flo
flowering,flor
flowering,flores
flowering,flower
flowering,flowering
flowering,flowers
flowering,flr
flowering,flrs
flowering,fls
flowering,flw
flowering,in bloom
flowering,inflor
flowering,inflorescence
flowering,inflorescence
flowering,inflorescences
flowering,petal
flowering,petals
flowering,raceme
flowering,racemes
flowering,ray
flowering,rays
flowering,sepal
flowering,sepals
flowering,spike
flowering,spikes
flowering,stamen
flowering,stamens
flowering,staminode
flowering,staminodes
flowering,stigma
flowering,stigmas
flowering,stigmata
flowering,tepal
flowering,tepals
flowering,yfl
flowering_fruiting,f/f
flowering_fruiting,flowerandfruit
fruiting,achene
fruiting,achenes
fruiting,achenium
fruiting,achenocarp
fruiting,akene
fruiting,capsule
fruiting,capsules
fruiting,caryopsis
fruiting,cone
fruiting,cones
fruiting,drupe
fruiting,drupes
fruiting,follicle
fruiting,follicles
fruiting,fr
fruiting,frt
fruiting,frts
fruiting,fru
fruiting,fruit
fruiting,fruited
fruiting,fruiting
fruiting,fruits
fruiting,fruta
fruiting,nut
fruiting,nutlet
fruiting,nutlets
fruiting,nuts
fruiting,pepo
fruiting,pepos
fruiting,pod
fruiting,pods
fruiting,pulse
fruiting,pulses
fruiting,samara
fruiting,seed
fruiting,seeds
fruiting,yfr
leaf_out,blade
leaf_out,blades
leaf_out,bract
leaf_out,bracts
leaf_out,folhas
leaf_out,foliage
leaf_out,hoja
leaf_out,leaf
leaf_out,leaves
leaf_out,lvs
leaf_out,v
leaf_out,veg
leaf_out,vegetative
leaf_out,vg
not_flowering,after flowering
not_flowering,after flowers
not_flowering,flower: n
not_flowering,no blooms
not_flowering,no flowers
not_flowering,non-reproductive
not_flowering,not blooming
not_flowering,not blooms
not_flowering,not flowering
not_flowering,past flowering
not_flowering,past flowers
not_flowering,post flowering
not_flowering,post flowers
not_flowering,post-flowering
not_flowering,post-flowers
not_flowering,pre-flowering
not_flowering,pre-flowers
not_fruiting,fruit: n
not_fruiting,no fruits
not_fruiting,not fruiting
not_fruiting,not fruiting
not_fruiting,past fruiting
not_fruiting,past fruits
not_fruiting,post-frt
not_fruiting,post-fruit
not_fruiting,post-fruits
not_fruiting,sterile
not_leaf_out,post-leaf
not_leaf_out,pre-leaf
not_leaf_out,vegetation: n
