name,is_valid,valid_name,synonym_optional
Abolbodaceae,N,Xyridaceae,
Abrophyllaceae,N,Rousseaceae,
Acanthaceae,Y,,
Acanthochlamydaceae,N,Velloziaceae,
Aceraceae,N,Sapindaceae,
Achariaceae,Y,,
Achatocarpaceae,Y,,
Achradaceae,N,Sapotaceae,
Acoraceae,Y,,
Actinidiaceae,Y,,
Adoxaceae,Y,,
Aegialitidaceae,N,Plumbaginaceae,
Aegicerataceae,N,Myrsinaceae,
Aextoxicaceae,Y,,
Agapanthaceae,N,Alliaceae,Y
Agavaceae,N,Asparagaceae,Y
Agdestidaceae,N,Phytolaccaceae,
Aizoaceae,Y,,
Akaniaceae,Y,,
Alangiaceae,N,Cornaceae,
Aldrovandaceae,N,Droseraceae,
Alismataceae,Y,,
Alliaceae,Y,,
Aloaceae,N,Asphodelaceae,
Aloaceae,N,Xanthorrhoeaceae,Y
Alseuosmiaceae,Y,,
Alsinaceae,N,Caryophyllaceae,
Alstroemeriaceae,Y,,
Altingiaceae,Y,,
Alzateaceae,Y,,
Amaranthaceae,Y,,
Amaryllidaceae,N,Alliaceae,Y
Amborellaceae,Y,,
Ambrosiaceae,N,Asteraceae,
Amygdalaceae,N,Rosaceae,
Amyridaceae,N,Rutaceae,
Anacardiaceae,Y,,
Anarthriaceae,Y,,
Ancistrocladaceae,Y,,
Androstachyaceae,N,Picrodendraceae,
Anemarrhenaceae,N,Agavaceae,
Anemarrhenaceae,N,Asparagaceae,Y
Anisophylleaceae,Y,,
Annonaceae,Y,,
Anomochloaceae,N,Poaceae,
Anopteraceae,N,Escalloniaceae,
Anthericaceae,N,Agavaceae,
Anthericaceae,N,Asparagaceae,Y
Antirrhinaceae,N,Plantaginaceae,
Antoniaceae,N,Loganiaceae,
Aphanopetalaceae,Y,,
Aphloiaceae,Y,,
Aphyllanthaceae,N,Asparagaceae,Y
Apiaceae,Y,,
Apocynaceae,Y,,
Apodanthaceae,N,Rafflesiaceae,
Aponogetonaceae,Y,,
Apostasiaceae,N,Orchidaceae,
Aptandraceae,N,Olacaceae,
Aquifoliaceae,Y,,
Aquilariaceae,N,Thymelaeaceae,
Araceae,Y,,
Aragoaceae,N,Plantaginaceae,
Araliaceae,Y,,
Aralidiaceae,Y,,
Arecaceae,Y,,
Argophyllaceae,Y,,
Aristoteliaceae,N,Elaeocarpaceae,
Aristolochiaceae,Y,,
Asclepiadaceae,N,Apocynaceae,
Asparagaceae,Y,,
Asphodelaceae,N,Xanthorrhoeaceae,Y
Aspidistraceae,N,Ruscaceae,
Aspidistraceae,N,Asparagaceae,Y
Asteliaceae,Y,,
Asteraceae,Y,,
Asteranthaceae,N,Lecythidaceae,
Asteropeiaceae,Y,,
Atherospermataceae,Y,,
Aucubaceae,N,Garryaceae,Y
Austrobaileyaceae,Y,,
Averrhoaceae,N,Oxalidaceae,
Avetraceae,N,Dioscoreaceae,
Avicenniaceae,N,Acanthaceae,
Balanitaceae,N,Zygophyllaceae,
Balanitaceae,N,Zygophyllaceae,
Balanopaceae,Y,,
Balanophoraceae,Y,,
Balsaminaceae,Y,,
Bambusaceae,N,Poaceae,
Barbeuiaceae,Y,,
Barbeyaceae,Y,,
Barclayaceae,N,Nymphaeaceae,
Barringtoniaceae,N,Lecythidaceae,
Basellaceae,Y,,
Bataceae,Y,,
Baueraceae,N,Cunoniaceae,
Baxteriaceae,N,Dasypogonaceae,
Begoniaceae,Y,,
Behniaceae,N,Agavaceae,
Behniaceae,N,Asparagaceae,Y
Bembiciaceae,N,Salicaceae,
Berberidaceae,Y,,
Berberidopsidaceae,Y,,
Berryaceae,N,Malvaceae,
Bersamaceae,N,Melianthaceae,
Berzeliaceae,N,Bruniaceae,
Betulaceae,Y,,
Biebersteiniaceae,Y,,
Bignoniaceae,Y,,
Bischofiaceae,N,Phyllanthaceae,
