Processing Magnoliophyta/occurrence_raw.csv...		
fru		
fru		
fru		
	Flowers purple. Abundant perennial from bulb.	
	Leaves dark green above, silvery white beneath; shrubs.	
	Flowers white.	
	Purple- pink petals.	
	Plant to 1.3 m tall; flower white.	
	Shrub 2 m tall, corolla pink.	
	Immature flowers, Associates: Prunus caroliniana, Acer rubrum	
	Flowers white, fragrant, tree ca 5 m.	
	Plants annual, 5 ft. tall, corolla yellow	
	Common; petals light purple- pink.	
	Flower yellow.	
	Locally abundant woody vine, corollas blue.	
	Colonial shrub, 6- 8 ft tall, or occasionally to 15 ft; flowers rose- pink.	
	Trees to 12 ft and 3 inches in diameter. Flowers light-pink. Uncommon.	
	Loment joints 1 to 3; stems mostly trailling; corolla yellow, cream and marked with violet purple.	
	The number of leaves was 5-7.	
	Fruit lemon yellow. Very much bushy branched.	
	Shrub 3- 4 ft tall; young flowers yellow, older flowers shades of pink to reddish orange.	
	Corolla blue, locally abundant open chalk.	
	Plants to 6 ft tall; corolla white	
	Corolla pale violet with white throat	
	Corolla light blue	
	Petals white.	
	Flowers white; roots tuberous.	
fl. & fr.		
	Det by: W H Duncan, corolla deep blue	
	White flowers.	
	White corolla	
	Fruit 2 cm in diameter.	
	Flowers white.	
	Elev 980 ft. Corolla light purple.	
	0.5 m; leaves pale to green, corolla lavender, locally occasional.	
	Local colony, rays & disk yellow.	
	Flower yellow.	
	common.; corolla white	
	| tree about 15' tall, bark medium to light grayish brown, moderately checkered with occasional fragments loosened & flaking, pith of older stems white	
	herb, corolla red	
	common weed on roadsides, blue flowers	
Flower	Denver Botanic Gardens Chatfield Floristic Inventory	Shrub 2m, white flowers and buds
		Shrub, 3 m tall, white flowers
Fruit		
Flower	Infrequent.; Corolla pink.	
Flower	Corolla pink.	
Fruit		
Flower and fruit	Locally abundant.; Long awned spike, on clumpgrass.	
Fruit	Denver Botanic Gardens Chatfield Floristic Inventory	
Flower	Denver Botanic Gardens Chatfield Floristic Inventory	
Flower and fruit	Denver Botanic Gardens Chatfield Floristic Inventory	
Flower and fruit	Denver Botanic Gardens Chatfield Floristic Inventory	
flowers		
flowers	Arbusto de ca. 17m, muito ramificado. Folhas cartaceas, discolores, com face adaxial verde-escura e abaxial argentea. Flores com sepalas verde-amarronzadas, petalas e estames brancos. Pouco frequente. N.V.: 'acara-mirim'	Arbusto de ca. 17m, muito ramificado. Folhas cartaceas, discolores, com face adaxial verde-escura e abaxial argentea. Flores com sepalas verde-amarronzadas, petalas e estames brancos. Pouco frequente. N.V.: 'acara-mirim'
flowers	Arbol 7m; inflorescencias terminales blancas verdosas.	Arbol 7m; inflorescencias terminales blancas verdosas.
	Arbusto de 3 m con flores amarillas.	
	Herb, corolla brownish, infrequent.	
	Flower - yellow disk and rays, 8 rays, disk head 1.5-2.5cm diameter, entire head 4.5-6cm diameter. Achene - 3-4 barbed spurs. Population - dominant Asteraceae to the west, blooming, few with spent flowers. Growing with Typha latifolia, Rumex, Persicaria s	
	Flower - arranged on cylindrical apex spikes, irregular, purple, sepals pubescent.Population - 1 individual per 1m2, not abundant, associated with Lindera benzoin and Asteraceae.	
