value,count
NULL,19822319
,2542900
NotDetermined,542473
flowers,311133
flowering,180938
Flower,142904
flowers and fruits,70562
fruiting,60447
Fertile,59681
fruits,59293
fertile,58749
flowering=early,52121
flowering + fruiting=mid,46613
Flr,42563
Fruit,39528
Flr & Frt,31842
vegetative,31282
Flowering,27692
flower,25699
flowering/fruiting,25456
fl,25212
flowering and fruiting,16740
fr,16704
Frt,12958
fruit,12731
sterile/vegetative,12311
Flower: Y Fruit: N Vegetation: Y Bud: N,12138
fl-fr,11891
flowering + fruting=mid,9357
flowers & fruit,9233
Flower: N Fruit: N Vegetation: Y Bud: N,9026
fruiting=late,8847
Flower | Fruit,8811
Flower: N Fruit: Y Vegetation: Y Bud: N,8203
sterile,7892
FlowerAndFruit,7873
"fl,fr",7211
Fl,6879
flower & fruit,6851
fruting=late,6349
Unknown,5464
flower and fruit,4934
Veg,4688
uncertain,4615
flo,4493
veg,4156
Bud,4007
fruit and flower,3933
Flower and fruit,3833
Flowers,3131
buds,3127
Flower and Fruit,2837
Immature Fruit,2822
Fruiting,2733
Flower | Immature Fruit,2485
Flowering & Fruiting,2342
Fr,2168
flower buds,2120
Bud | Flower,2008
flowers & leaves,1934
Flower: Y Fruit: Y Vegetation: Y Bud: N,1791
Sterile,1602
Vegetative,1551
F/F,1256
immature fruit,1236
Flower | Bud,1213
Flower: N Fruit: N Vegetation: Y Bud: Y,1166
Flower: N Fruit: Y Vegetation: Y Bud: Y,1133
flrs,1130
flowering or fruiting,1034
fl buds,972
fru,908
fl. & fr.,862
flowering and immature fruit,839
Flowering or fruiting,768
fruit & leaves,759
"Flower, Fruit",748
fruiting-developing,739
reproductive,736
Flower | Fertile,659
mature,603
Flowers.,568
remnants,530
Bud | Flower | Fruit,528
FL,496
Phenology: Flowering and Fruiting.,460
Vegetation: Y Bud: N,435
Bud | Immature Fruit,432
"flowers, fruit & leaves",427
flower/fruit,421
in bloom,417
flowering-immature,396
Flowering and fruiting,392
"Flowering, Fruiting",389
Flo,384
fruit & seed,379
Fruits,367
flower or fruit,353
Flowering and Fruiting,340
Fertile | Flower,330
Bud | Fruit,324
f/f,320
"fl, fr",320
flowering-mature,320
leaves,314
Fruit | Flower,313
flw,309
No Data,294
"flower, fruit & seed",282
fruiting-ripe,261
"flower, vegetation",255
cones,254
"Bud, Flower",252
Immature Fruit | Fruit,234
"Flower, fruit",233
ff,216
Fertile | Fruit,215
Flr/Frt,213
Flowers and Fruits,208
Flowering; Fruiting,205
Flowering and/or Fruiting,201
budding,200
flowers and fruit,199
ft,198
Bud | Flower | Immature Fruit | Fruit,195
FL.,194
flowers & fruits,191
Flower or Fruit,187
winter / dormant condition,183
fruiting-old persisting,182
seed,168
Flower: Y Fruit: N Vegetation: Y Bud: Y,167
S,166
v,160
flowering-old persisting,157
flowers & leaf,151
Fruit and Flower,148
unknown,147
in fruit,145
Flower | Flower,141
FL/FR,136
FR,131
frts,127
"Flowers, fruit",125
Flower & Fruit,124
Bud | Flower | Immature Fruit,123
"Fruit, flower",120
Flower: Y Fruit: N Vegetation: N Bud: N,115
juvenile,110
Flowers and fruits,109
fruit & stems,109
"flower, fruit",106
flower & leaves,104
Flowers and fruit.,104
bud,101
stems,101
Ft,100
Flower 100%,99
"v,fl,fr",98
Reproductive,95
Fertile | Bud,94
Flower: N Fruit: Y Vegetation: N Bud: N,93
leaf,88
Flowers Present,86
fruit bearing,86
Full bloom.,86
Flower: N Fruit: N Vegetation: N Bud: N,85
Flowering/Fruiting,85
"v,fl",85
st,83
Flowers and fruit,82
Flowering.,81
not flowering,79
spores,79
Flower.,76
"flowering, fruiting",76
??,74
Acorns,73
Flowering to fruiting,71
frt,67
capsules,65
"in bloom, fruit bearing",64
Flrs,62
fruit & leaf,61
Fruit.,61
Flower | Immature Fruit | Fruit,60
Flr & Bulblet,60
seeds,59
Bud | Fertile,58
Flowering and Fruiting.,58
flowering; fruiting,56
Fruit | Immature Fruit,51
Fruit | Bud,49
in bloom and fruit,47
Flower & fruit,46
Flower/Fruit,46
Immature Fruit | Flower,46
bulbils,44
In flower,44
Frt & Flr,43
flower buds and fruit,42
Flowering & fruiting,41
Fruit 100%,41
Phenology: Flowering.,41
"flrs, frts",38
Fruit-bearing,37
stem,36
"v, fl",36
vegetation,35
"Flower 75%, Fruit 25%",33
flowering & fruiting,33
flowers and fru,33
FR.,33
fruit-bearing,33
in bud,33
"flower, fruit, seed",32
yfr,32
fruiting/flowering,31
"In bloom, fruit-bearing",31
fl.,30
flo & fruit,30
flower & stems,30
"Fl, Fr",29
Flower | Bud | Fertile,29
"flower, leaves & stems",29
Buds,28
"Flower 75%, Bud 25%",28
Flower/fruit,28
"Flower 50%, Bud 50%",27
Flr.,27
"Bud, Flower, Fruit",26
Fertile | Immature Fruit,26
fl & ft.,26
"Flowers, fruit.",26
flr,26
Fruit | Fertile,26
pods,26
Flower: Y Fruit: N Vegetation: N Bud: Y,25
Shattering,25
V.,25
Flower or fruit,24
Fertile | Flower | Fruit,23
flower & bud,23
Flower |,23
"in bloom, fruit-bearing",23
"fl, ft",22
Dispersal,21
Fertile |,21
flower & seeds,21
Flowering &/or fruiting,21
flowers & stems,21
Fruiting.,21
Grass,21
Flower | Bud | Immature Fruit,20
Flower: N Fruit: N Vegetation: N Bud: Y,20
Fruit or Flower,20
"v,fr",20
Bud | Immature Fruit | Fruit,19
Frutos,19
"Flower 25%, Bud 75%",18
"Flower 50%, Fruit 50%",18
image,18
Past flowering,18
Bud and Flower,17
f,17
Flores,17
Flower | Bud | Fruit,17
Flower and fruiting,17
Flower: Y Vegetation: Y,17
"flowers, fruit & leaf",17
Flr and Frt,17
Immature fruit,17
Immature Fruit | Bud,17
senescent,17
Flower: Y Fruit: Y Vegetation: N Bud: N,16
Flowering and with fruit.,16
"flowers, fruit",16
Sterile.,16
Bud to Flowering,15
fl & fr,15
Flower | Immature Fruit | Bud,15
"Flowering, fruiting",15
flowers & pads,15
"flowers, fruit, leaves & stems",15
in young fruit,15
vg,15
Flower and fruit.,14
"Flower, Bud",14
Bud | Flower | Fertile,13
buds & leaves,13
Flower | Fertile | Bud,13
Flower 75%,13
flower and/or fruit,13
fruit (immature) & leaves,13
Fruiting and flowering,13
Fruits.,13
In bloom,13
bud & flower,12
Budding,12
Flower: N Fruit: Y Vegetation: N Bud: Y,12
Flower: Y Fruit: Y Vegetation: Y Bud: Y,12
Frt.,12
Fruit | Bud | Fertile,12
Fruiting & shattering,12
"Fruiting, Flowering",12
ft.,12
LEAF,12
leaves & stem,12
budding (flower),11
Flower | Fertile | Fruit,11
Flower | Fruit | Bud,11
"Flower 25%, Fruit 75%",11
"flowers, leaves & stems",11
"flowers, leaves, roots & stems",11
"fr,fl",11
Fruit: Y Vegetation: Y,11
Veg.,11
Bud to flower,10
flower & stem,10
Flowering/fruiting,10
flowers and/or fruit,10
"flowers, fruit, leaves, roots & stems",10
fruit and seed,10
"Fruit, disarticulating",10
Mature fruit,10
Phenology: Flowering,10
Phenology: Fruiting.,10
Buds only,9
Bulblets & Flr,9
"fl, fr.",9
Flower & early fruit,9
flowers & stem,9
leaves & stems,9
"vegetation, fruit",9
flower (immature),8
"Flower 33%, Bud 66%",8
Flower buds,8
Flowering + Fruiting,8
Flowering to fruit,8
flowers & unripe fruit,8
Flr &Frt,8
"fr, fl",8
fr?,8
fruit & seeds,8
fruit & spines,8
fruiting/dispersing,8
seedling,8
Seeds,8
steril,8
Vegetation: Y,8
bark & leaves,7
Flower and/or Fruit,7
"flowers, fruits",7
Flw,7
flw-fr,7
Fruit |,7
fruits & seeds,7
"fruits, flowers",7
immature fruits,7
non-reproductive,7
old infl,7
pod,7
buds & leaf,6
Bulblet,6
Early fruit,6
fl/ft,6
flower buds and immature fruit,6
flower fruit,6
Flower: Y Fruit: N Vegetation: Y,6
flowers & spine,6
Flr/ Frt,6
"flrs, buds",6
frs,6
fruit & stem,6
"Fruit, Flower",6
Fruiting & Flowering,6
In bud,6
infertile,6
leaf & stem,6
post flowering,6
post-Frt,6
Shattered,6
STEM,6
Tuberculo,6
W,6
yes,6
Bud |,5
Bud | Flower | Immature Fruit | Flower,5
bulblets,5
Esteril,5
"fl,ft",5
fl?,5
flower & fruit & seed,5
"Flowering, seeds",5
Flowers yellow,5
frls,5
Fruit | Flower | Bud,5
Fruit | Fruit,5
Fruit and Flowers,5
Fruit Present,5
fruits & leaves,5
imm. fruit,5
Immature flowering,5
in seed,5
seed pod,5
Yellow flowers,5
0,4
*,4
Bud | Fertile | Flower,4
Bud 100%,4
"bud, flower",4
Buds and Flowers,4
Bulblets,4
Developing fruit,4
"fl ,fr",4
"Fl, fr",4
"fl, yfr",4
fl*,4
flower & capsules,4
flower & fruits,4
Flower | Fruit | Bud | Fertile,4
Flower | Fruit | Immature Fruit,4
Flower 50%,4
"flower, vegetation, fruit",4
Flower: N Fruit: Y Vegetation: Y,4
Flower: Y Fruit: Y Vegetation: N Bud: Y,4
Flower: Y Fruit: Y Vegetation: Y,4
FLowering & Fruiting,4
Flowering to Fruiting,4
Flowering with fruit.,4
flowers (spent),4
Flowers and seed.,4
Flowers purple,4
fr & fl,4
fruit and Flower,4
Fruiting to shattering,4
"heads, roots & stems",4
Herb,4
In Flower,4
In fruit,4
infl,4
male strobili,4
old flowers,4
pads,4
Post dispersal,4
Remnants,4
spore,4
Vegetation: N Bud: N,4
vegetative - lower culm,4
yfl,4
1,3
[Frt],3
[inflorescence present - bhc 2014],3
bud & pads,3
Bud to fruit,3
"Bud, Fruit",3
"buds, flowers & leaves",3
early frts,3
F - 1,3
fern & leaves,3
Fertile flowers.,3
"Fertile, Fruit",3
fkrs,3
fl & ft,3
"FL, FR",3
fleurs,3
flower & Fruit,3
Flower | Fruit | Fertile,3
Flower | Immature Fruit | Fertile,3
"Flower 25%, Bud 25%, Fruit 50%",3
Flower and Fruit.,3
"Flower, Fruit, Bud",3
Flower/developing fruit,3
Flowerin,3
flowering + fruiting,3
Flowering and fruiting.,3
Flowering or Fruiting,3
FLowers,3
Flowers & fruit,3
flowers & fruit (Immature),3
Flowers & fruits.,3
flowers & immature fruit,3
flowers & seeds,3
Flowers and Fruit,3
Flowers and Fruit present,3
flowers and fruit.,3
Flowers Present; Fruit Present,3
"flowers, buds",3
"Flowers, Fruit",3
"Flowers, fruits.",3
flowers; fruit,3
Flr & frt,3
flr./frt.,3
Fores,3
fr.,3
fr*,3
Fru,3
Fruit | Flower | Fertile,3
Fruit | Immature Fruit | Bud,3
Fruit | Immature Fruit | Flower,3
Fruit and flower,3
Fruit and post-dispersal,3
Fruit deciduous,3
Fruit dispersal,3
"fruit, leaves & seeds",3
"fruit, leaves & stems",3
fruits and flowers,3
Fruits dispersed,3
"fruits, seeds",3
"ft,fl",3
"imm fl, ft",3
Immature flowers,3
immature flowers,3
Immature Fruit | Flower | Fertile,3
in bud and flower,3
"leaf, bulbils",3
Mature,3
ofl,3
old fruit,3
Past fruiting,3
rep,3
S/FL,3
seeds?,3
Steril,3
Sterlie,3
V,3
"v, fl, fr",3
"vegetative, flower",3
